"date","sst_anom"
1982-01-15,0.00644142552130853
1982-02-15,0.575169575019903
1982-03-15,1.04949872570889
1982-04-15,0.893130413218863
1982-05-15,-0.120694235246823
1982-06-15,0.379025720398317
1982-07-15,1.53310423659422
1982-08-15,0.437154085189581
1982-09-15,0.058522683134847
1982-10-15,0.316028842812726
1982-11-15,0.0407575317335238
1982-12-15,1.19075856100855
1983-01-15,0.482178443850769
1983-02-15,-0.34003072218773
1983-03-15,-0.917989929367602
1983-04-15,-1.87169558174496
1983-05-15,-1.59744867621781
1983-06-15,-1.04389042791141
1983-07-15,-0.12888913452377
1983-08-15,-0.0772935848779182
1983-09-15,-1.07021160670825
1983-10-15,-0.165531970072772
1983-11-15,-0.114870656727386
1983-12-15,0.247283119264989
1984-01-15,-0.851889906890219
1984-02-15,-0.804771540145225
1984-03-15,-1.440328347031
1984-04-15,-0.959238990864399
1984-05-15,-0.944007158035865
1984-06-15,-2.15274264431456
1984-07-15,-1.4706824333519
1984-08-15,-1.95347597366432
1984-09-15,-1.85442128152329
1984-10-15,-1.227505067648
1984-11-15,-0.314594807999176
1984-12-15,-0.339453349879259
1985-01-15,-0.568849470451176
1985-02-15,-1.17902747317736
1985-03-15,0.820034828403043
1985-04-15,0.161634739094438
1985-05-15,0.878692146396631
1985-06-15,-0.151554659634258
1985-07-15,-1.93842215629947
1985-08-15,-1.11002581017973
1985-09-15,-1.51196071427471
1985-10-15,0.0055475949982495
1985-11-15,-0.224116963775608
1985-12-15,0.0875046618580343
1986-01-15,0.578529418524714
1986-02-15,0.221268810442438
1986-03-15,-0.243271872401909
1986-04-15,-0.475544573480891
1986-05-15,-0.482213448366779
1986-06-15,0.321588230294216
1986-07-15,-0.423446776733683
1986-08-15,-1.10706979825737
1986-09-15,-0.691291391831585
1986-10-15,0.765108661930504
1986-11-15,1.30494031631029
1986-12-15,1.36980853833531
1987-01-15,0.265600373350159
1987-02-15,-0.590265378132431
1987-03-15,-0.794701400305988
1987-04-15,-1.42337731290815
1987-05-15,-0.0701231104316634
1987-06-15,-0.784651057763421
1987-07-15,0.457556100156333
1987-08-15,0.158597692721962
1987-09-15,0.27837450423805
1987-10-15,-2.01783584440985
1987-11-15,-2.22018822806344
1987-12-15,-0.392203480105247
1988-01-15,-1.07259123368762
1988-02-15,-1.72305575279834
1988-03-15,-1.2527588433968
1988-04-15,-0.716003314149609
1988-05-15,-1.65690264548436
1988-06-15,-2.29855554987516
1988-07-15,-1.61945312827275
1988-08-15,-0.980963901426878
1988-09-15,-1.74499030700827
1988-10-15,-1.36849251272921
1988-11-15,0.663080136077628
1988-12-15,-0.123983996002283
1989-01-15,2.00626836728037
1989-02-15,1.22575676094763
1989-03-15,0.321510643556876
1989-04-15,0.307792196362475
1989-05-15,0.222545125033717
1989-06-15,-0.787167685946947
1989-07-15,-1.07868235010653
1989-08-15,-0.772351426834276
1989-09-15,0.414911090692744
1989-10-15,-0.721807286769353
1989-11-15,-0.299422481220448
1989-12-15,-1.60532736853808
1990-01-15,-0.810099305116003
1990-02-15,0.989269355074788
1990-03-15,0.527471755170925
1990-04-15,-0.0728662642181808
1990-05-15,0.327613332066968
1990-06-15,1.25655644975405
1990-07-15,-0.852333865090923
1990-08-15,0.270234302409962
1990-09-15,1.1150001506971
1990-10-15,0.665258059869659
1990-11-15,-0.36359496706409
1990-12-15,0.297346821462132
1991-01-15,0.500428784181121
1991-02-15,0.156822307544557
1991-03-15,0.0338138303653909
1991-04-15,1.21746614108876
1991-05-15,1.19615114347103
1991-06-15,0.466444883498443
1991-07-15,0.151678226645306
1991-08-15,-0.20113605385664
1991-09-15,-0.374036632410534
1991-10-15,-0.55585436447731
1991-11-15,-1.155988965217
1991-12-15,0.216772073848416
1992-01-15,-0.0868946193507687
1992-02-15,-0.123310691337349
1992-03-15,-0.0746078847807762
1992-04-15,-0.403139255000823
1992-05-15,-1.91644125435107
1992-06-15,-0.0132011795671617
1992-07-15,-0.360921548340918
1992-08-15,-0.962991436032148
1992-09-15,-0.304443396939715
1992-10-15,-1.48462983291628
1992-11-15,-1.33730253871171
1992-12-15,-0.627664550771129
1993-01-15,1.36320676564929
1993-02-15,0.0435930508507421
1993-03-15,-0.874390340624459
1993-04-15,-1.26121011322518
1993-05-15,-1.79001068327756
1993-06-15,-0.846609138248001
1993-07-15,0.203145816573881
1993-08-15,0.801486350679123
1993-09-15,0.623416537820556
1993-10-15,0.35436845822733
1993-11-15,-0.851416245440449
1993-12-15,-0.629928152708838
1994-01-15,-0.985980856874528
1994-02-15,0.275150986762308
1994-03-15,-0.0854369679424429
1994-04-15,0.345954695929803
1994-05-15,1.29378149010805
1994-06-15,-0.148981590444535
1994-07-15,-0.911049740208348
1994-08-15,-1.93496576602642
1994-09-15,-0.794795683562183
1994-10-15,-0.718200351470585
1994-11-15,1.06604628469236
1994-12-15,1.07867102722092
1995-01-15,-0.315564465877783
1995-02-15,-0.0427989799025018
1995-03-15,0.482124505044594
1995-04-15,0.679154022529497
1995-05-15,1.34482716718
1995-06-15,-0.456713555625003
1995-07-15,-0.448827286995107
1995-08-15,-0.205022120651733
1995-09-15,1.34551562852494
1995-10-15,-0.299254802771272
1995-11-15,-0.381715779658606
1995-12-15,0.0649976003386101
1996-01-15,-0.940005523193288
1996-02-15,-0.153865246632486
1996-03-15,-1.01790242013154
1996-04-15,-1.47259252837173
1996-05-15,-0.0637485206826041
1996-06-15,0.367680924426709
1996-07-15,-0.154684186849972
1996-08-15,-0.631606215200065
1996-09-15,0.925305717076161
